Year,Medal,Winner,Type,Host_City,Host_Nation
1986,Gold,S Golinski,Individual,Edinburgh,Scotland
1990,Bronze,J Corbett,Individual,Auckland,New Zealand
2006,Gold,B Scott,Individual,Melbourne,Australia
2006,Bronze,J Corbett,Individual,Melbourne,Australia
2010,Silver,J Corbett,Individual,Delhi,India
1982,Gold,K Affleck,Pairs,Brisbane,Australia
1982,Gold,G Ayling,Pairs,Brisbane,Australia
1986,Silver,J Corbett,Pairs,Edinburgh,Scotland
1986,Silver,S Golinski,Pairs,Edinburgh,Scotland
1990,Silver,J Corbett,Pairs,Auckland,New Zealand
1990,Silver,B Wood,Pairs,Auckland,New Zealand
1994,Gold,B Bowden,Pairs,Victoria,Canada
1994,Gold,G Grenfell,Pairs,Victoria,Canada
2006,Silver,J Corbett,Pairs,Melbourne,Australia
2006,Silver,B Scott,Pairs,Melbourne,Australia
